x = 1365   y = 131   kat = 1.57   r = 1
x = 1365   y = 71   kat = 1.57   r = 1
x = 1365   y = 90   kat = 0.902183   r = 0.574639
x = 1286   y = 190   kat = 0.85823   r = 0.546644
x = 1178   y = 315   kat = 0.840099   r = 0.535095
x = 1014   y = 498   kat = 0.0312398   r = 0.019898
x = 1078   y = 500   kat = 0.362823   r = 0.231098
x = 1294   y = 418   kat = 0.534183   r = 0.340244
x = 1365   y = 376   kat = 1.57   r = 1
x = 1365   y = 377   kat = 0.835715   r = 0.532303
